  Cloud Kitchen Index (Origin)    Service Station Index (Destination)    Distance (miles)
------------------------------  -------------------------------------  ------------------
                             1                                     29           0.550923
                             1                                     49           0.782121
                             2                                     32           1.00998
                             2                                     45           0.126765
                             3                                     40           1.01273
                             3                                     48           1.35876
                             4                                     11           0.876913
                             4                                     37           0.431965
                             5                                     12           0.614579
                             5                                     21           2.18456
                             6                                     27           1.36084
                             6                                     41           2.72578
                             7                                     20           0.553092
                             7                                     42           1.44819
                             8                                      3           1.32441
                             8                                     33           0.743976
                             9                                     31           0.18313
                             9                                     38           1.40414
                            10                                     30           0.311607
                            10                                     47           0.971493
                            11                                     17           0.207313
                            11                                     43           0.454805
                            12                                      4           0.93396
                            12                                     23           2.21451
                            13                                     19           1.24224
                            13                                     39           1.63775
                            14                                     15           1.78042
                            14                                     16           1.67705
                            15                                     35           0.59919
                            15                                     36           1.45638
                            16                                      7           1.64689
                            16                                     10           1.73463
                            17                                      5           0.670695
                            17                                      8           0.41901
                            18                                     46           0.555296
                            18                                     50           1.52406
                            19                                     18           0.883409
                            19                                     34           1.34325
                            20                                     14           3.09538
                            20                                     44           2.1514
                            21                                     13           0.972751
                            21                                     25           1.11472
                            22                                      1           0.665295
                            22                                     22           0.267225
                            23                                      2           0.306584
                            23                                     26           1.09429
                            24                                      6           1.19996
                            24                                     24           0.538421
                            25                                      9           1.14193
                            25                                     28           0.0961397
