Indices,Addresses
0,'4538 California Avenue SW, Seattle, WA 98116, USA'
1,'2414 SW Andover Street, Seattle, WA 98126, USA'
2,'37 S Hudson Street, Seattle, WA 98314, USA'
3,'600 S Brandon Street, Seattle, WA 98108, USA'
4,'6100 4th Avenue S, Seattle, WA 98108, USA'
5,'6901 Fox Avenue S, Seattle, WA 98108, USA'
6,'10851 1st Avenue S, Seattle, WA 98168, USA'
7,'2603 S Jackson Street, Seattle, WA 98144, USA'
8,'1124 Columbia Street, Seattle, WA 98104, USA'
9,'1531 Utah Avenue S, Seattle, WA 98134, USA'
10,'2401 Utah Avenue S, Seattle, WA 98134, USA'
11,'1930 Boren Avenue, Seattle, WA 98101, USA'
12,'1301 2nd Avenue, Seattle, WA 98101, USA'
13,'216 1st Avenue S, Seattle, WA 98104, USA'
14,'505 5th Avenue S, Seattle, WA 98104, USA'
15,'1029 S Jackson Street, Seattle, WA 98104, USA'
16,'1404 12th Avenue, Seattle, WA 98122, USA'
17,'1401 E Jeffereson Street, Seattle, WA 98122, USA'
18,'2311 E Madison Street, Seattle, WA 98102, USA'
19,'950 Federal Avenue E, Seattle, WA 98102, USA'
20,'1938 Fairview Avenue E, Seattle, WA 98102, USA'
21,'316 Florentia Street, Seattle, WA 98109, USA'
22,'3012 16th Avenue W, Seattle, WA 98119, USA'
23,'5902 22nd Avenue NW, Seattle, WA 98107, USA'
24,'3301 Burke Avenue N, Seattle, WA 98103, USA'
